cpn,NAME,crncy,bearer,junior,senior,series,ticker, ISSUER,country,cpn_typ,cur_cpn,day_cnt,floaier,id_isin,id_mic1,id_mic2,id_mic3,id_mic4,id_mic5,is_regs,mty_typ,par_amt,putable,rig_jcr,base_cpi,cfi_code,cpn_freq,cv_until,id_cedel,id_dutch,id_italy,id_japan,id_spain,issue_dt,issue_px,lead_mgr,maturity,oid_bond,sinkable,144A_FLAG,cpn_crncy,cv_sh_par,defaulted,exch_code,id_common,id_danish,id_french,id_sedol1,id_sedol2,id_sedol3,id_sedol4,id_sedol5,min_piece,nxt_re_dt,reset_idx,stepup_dt,amt_issued,collai_typ,cv_cnvs_px,cv_prov_px,dual_crncy,extendible,id_belgium,int_acc_dt,nxt_cpn_dt,nxt_put_dt,nxt_put_px,prvt_place,redemp_val,refix_freq,registered,short_name,stepup_cpn, ID_SWEDISH,announce_dt,cv_start_dt,ex_div_days,flt_pay_day,ID_VALOREN ,id_xtrakier,issuer_bulk,nxt_sink_dt,pfd_rst_dvd,prev_cpn_dt,put_feature,trade_crncy,canadaLLED ,basic_spread,delivery_typ,dtc_eligible,est_cpn_flag,exchangeable,first_cpn_dt,id_bb_global,id_bb_unique,id_euroclear,is_perpetual,market_issue,nxt_refix_dt,nxt_sink_amt,put_discrete,redemp_crncy,security_des,security_typ,type_of_bond,calc_typ_des,canadalc_typ,  FEED_SOURCE, IS_DAY_PAYER,cv_cnvs_raiio,id_bb_company,id_luxembourg,id_weripapier,inflaiion_lag,issuers_stock,last_refix_dt,min_increment,nxt_factor_dt,pcs_quote_typ,pfd_ex_dvd_dt,security_typ2,canadaLLABLE ,canadalled_dt,canadalled_px,days_io_settle,day_payer_freq,dtc_registered,final_maturity,flt_days_prior,guarantor_name,id_bb_security,is_unit_traded,nxt_par_put_dt,pct_par_quoted,pfd_dvd_pay_dt,removal_reason,amt_outstanding,bbg_unique_code,cdr_settle_code,first_settle_dt,gilts_ex_dvd_dt,id_bb_guarantor,id_bb_parent_co,ID_EXCH_SYMBOL ,is_current_govt,LONG_COMP_NAME ,nxt_canadall_dt,nxt_canadall_px,reference_index,sinking__factor,structured_note,cdr_country_code,cpn_freq_yld_cnv,cv_cnvs_fexch_ri,cv_common_ticker,id_japan_company,is_soft_canadall,canadall_feaiure,canadall_partial,cntry_of_domicile,country_guarantor,cv_mandaiory_cnvs,id_bb_sec_num_des,market_sector_des,PARENT_COMP_NAME ,undl_id_bb_unique,canadalc_maturity,canadall_discrete,flt_cpn_convention,parent_comp_ticker,penultimate_cpn_dt,sedol1_country_iso,sedol2_country_iso,sedol3_country_iso,sedol4_country_iso,credit_enhancements,ex_div_canadalendar,nxt_par_canadall_dt,security_factorable,SEDOL5_COUNTR Y_ISO,eu_savings_directive,flt_bench_multiplier,id_bb_global_company,contingent_conversion,cv_common_ticker_exch,iso_country_guarantor,sink_schedule_ami_typ, IS_REVERSE_CONVERTIBLE,CNTRY_OF_ INCORPORATION,id_bb_global_company_name,contrib_daia_indicanadaior,first_canadall_dt_issuance,MAKE_WHOLE_canadaLL_SPR EAD,most_recent_reporied_factor,ID_CUnited State Of AmericaIP,inflaiion_linked_indicanadaior,ID_AUnited State Of AmericaTRIAN,TRADE_STAIUnited State Of America,ID_CUnited State Of AmericaIP_REAL,INDUnited State Of AmericaTRY_GROUP,INDUnited State Of AmericaTRY_SECTOR,ISSUER_INDUnited State Of AmericaTRY,SEASONING_STAIUnited State Of America,INDUnited State Of AmericaTRY_SUBGROUP,INSURANCE _STATUnited State Of America,INDUnited State Of AmericaTRY_GROUP_NUM,INDUnited State Of AmericaTRY_SECTOR_NUM,INDUnited State Of AmericaTRY_SUBG ROUP_NUM,_airbyte_ab_id,_airbyte_emitted_at,_airbyte_normalized_at,_airbyte_finalop_hashid
0,AIA GROUP LTD MTN RegS 3.2% 16-Sep-2040,United State Of AmericaD,N.A., , , ,B,TREASURY BILL,HK,, ,2,N,United State Of America00131MAK99, , , , , ,N,NORMAL,100,N,N .A., ,DTVNFR, , , , , , , ,20210513,0.05, ,20211112,Y,N, ,United State Of AmericaD, , ,, , , ,B0T0GP7, , , , ,100, , , ,1.19769, , , ,N, , , , , , ,N .A.,100, ,N .A.,AIA GROUP LTD MTN RegS 3.2% 16-Sep-2040, , , , , , , , ,TREASURY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A., ,BBG010VMHVX2,COZP870A000, , ,PUBLIC, , , ,United State Of AmericaD,B 11/12/21,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349054, ,A1V6YG,N .A., , ,100, ,2, ,Bill,N, , ,1, , ,20211112, , ,192941319,N, ,Y, ,N.A.,1.19769,COZP870A000 Corp,United State Of America, , , ,218252, ,N,United States Treasury Bill, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,B 0 11/12/21,Corp,United States of Americanada, ,20211112, , ,3352Z, ,N .A.,N.A.,N .A.,N.A., , , ,N,N .A.,Non-Grandfathered, ,BBG001FN4MX1, , , , , ,United State Of America,United States Treasury Bill, , , , ,912796851,N, ,Y,912796H51,Sovereiqn,Government,Financials, ,Sovereiqn, ,20076,10010,459,5735cece-bcad-4831-8c60-4b887e9f4c14,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,495cf6e94329615d1bc33e04d0475f0c
0,AIA GROUP LTD MTN RegS 3.9% 06-Apr-2028,United State Of AmericaD,N.A., , , ,XIB,WI TSY BILL,HK,, ,2,N,United State Of America00131MAF05, , , , , ,N,NORMAL, ,N,N.A., ,N .A., , , , , , , ,20211112,0.045, ,20220210,Y,N, ,United State Of AmericaD, , ,, , , ,B8Q9BF8, , , , ,100, , , ,60232000000, , , ,N, , , , , , ,N .A.,100,  ,N .A.,AIA GROUP LTD MTN RegS 3.9% 06-Apr-2028, , , , , , , , ,WI TSY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A.,20210812,BBG012248XKO,COZP871A001, , ,PUBLIC, , , ,United State Of AmericaD,XIB 02/10/22,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349057, , ,N.A., , ,100, ,2, ,Bill,N, , ,1, , ,20220210, , ,195341532,N, ,Y, , ,60232000000,COZP871A001 Corp,United State Of America, , , ,218252, ,N,United States Treasury Bill - h1I Post Auction, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,XIB 0 02/10/22,Corp,United States of Americanada, ,20220210, , ,3352Z, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG001FN4N05, , , , , ,United State Of America,United States Treasury Bill - WI Post Auction, , , , ,912796L72,N, ,Y,9999X03M7,Sovereiqn,Government,Financials, ,Sovereiqn, ,20076,10010,459,d1309ddb-2946-4557-9670-6f0f0bb67030,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,5cb3eb3ec8a7ff82892537b81ef5954f
N .A.,AIA GROUP LTD RegS 3.38% 07-Apr-2030,United State Of AmericaD,N,N,Y, ,RY,ROYAL BK canadaNADA TORONTO,HK,,N .A.,20,Y,United State Of America00131MAJ27, , , , , ,N,AT MATURITY,10000,N,N .A., ,DTVNFR,, , , , , , ,20201111,100,RBcanadaN-sole,20211111,N,N,N,EUR, ,N,,224476680, , ,B841H25, , , , ,100000, ,, ,2500000,SR UNSECURED, , ,N,N, ,20201111,20211111, , ,N,100,1,N,AIA GROUP LTD RegS 3.38% 07-Apr-2030, , ,20201028, , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , ,20201111, ,EUR,N,O, ,N,Y,N,20211111,BBGOOY19VB50,COZP872A002, ,N,PUBLIC, , , ,EUR,RY Float 11/11/21,EURO MTN, ,NO canadaLC-FLOATE.RS,198,N.A.,N, ,7807776, , ,N.A., ,20211111,10000, ,1, , ,N, , ,2, ,N,20211111,O,N .A.,188639607,N, ,Y, ,MATURED,2500000,COZP872A002 Corp,TE,20201111, , ,110411, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,1, , , ,N, , ,canada,N .A., ,RY VO 11/11/21,Corp,Royal Bank of canadanada, ,20211111, , ,RY,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered,1,BBG001H1BMK3, , ,N .A., ,N,canada,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,BM1849769,N, ,Y, ,Banks,Financial,Financials,Seasoned,Commer Banks Non-United State Of America,N,20051,10008,675,9fa31c5c-415f-4616-9566-3a901f399295,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,1db5358cbe622019cc09670214ab4e77
N .A.,ALIBABA GROUP HOLDING LTD 3.4% 06-Dec-2027,United State Of AmericaD,N,N,Y,1,RY,ROYAL BK canadaNADA TORONTO,CN,,N .A.,20,Y,United State Of America01609WAT99, , , , , ,N,AT MATURITY,10000,N,N .A., ,DTVNGR,4, , , , , , ,20201111,100,RBcanadaN-sole,20211111,N,N,N,GBP, ,N,,224476698,, ,B7KQ7V6, , , , ,10000, ,, ,400000,SR UNSECURED, , ,N,N,,20201111,20210211, , ,N,100,4,N,ALIBABA GROUP HOLDING LTD 3.4% 06-Dec-2027, ,,20201028, , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , ,20201111, ,GBP,N,O, ,Y,Y,N,20210211,BBGOOY19VBJ5,COZP873A003, ,N,PUBLIC, , ,,GBP,RY Float 11/11/21,EURO MTN, ,NO canadaLC-FLOATE.RS,198,N .A.,N, , ,, ,N.A., ,20210211,10000, ,1, , ,N, , ,2, ,N,20211111,O,N .A.,7807776,N, ,, ,MATURED,400000,COZP873A003 Corp,EN,20201111, , ,110411, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,4, , , ,N, , ,canada,N .A., ,RY VO 11/11/21 0001,Corp,Royal Bank of canadanada, ,20211111,N, ,RY,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered,1,BBG001H1BMK3, , ,N .A., ,N,canada,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,BM1849785,N,,Y, ,Banks,Financial,Consumer Discretionary,Seasoned,Commer Banks Non-United State Of America,N,20051,10008,675,759985a3-4d2c-4d1b-a931-2f6fc1e9b6ed,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,9c310aa6de37bb4033957291357160b1
0,BANK OF CHINA (HONG KONG) LTD MTN RegS 5.9% 31-Dec-2049,United State Of AmericaD,N,N,Y, ,ESMTB,ESM BILL,HK,, ,2,N,United State Of America06428YAA47,EBMX, ,XLUX,SEND, ,N,AT MATURITY,0.01,N,N .A., ,DYZCXB, , , , , , , ,20201112,100.60574, ,20211111,N,N,N,EUR, ,N,,225673284, , ,B8DP2F6, , , , ,0.01, , , ,1490470000,BILLS, , ,N,N, , , , , ,N,100, ,N,BANK OF CHINA (HONG KONG) LTD MTN RegS 5.9% 31-Dec-2049, , ,20201106, , , , , ,ESM TBILL, , , , ,EUR,N, , ,N, ,N, ,BBGOOY3WT4D7,COZP874A004, ,N,PUBLIC, , , ,EUR,ESMTB 0 11/11/21,EURO NON-DOLLAR, ,INTE.REST@MTY,7,EMTS,N, ,33508530, ,A2SB95,N.A., , ,0.01, ,1, , ,N, , ,2, ,N,20211111, ,N .A.,189148450,N, ,Y, ,MATURED,1490470000,COZP874A004 Corp,TE,20201112, , ,32208894,ESM 0.0 11/11/21,N,European Stability Mechanism Treasury Bill, , , ,1,N,EC,1, , , ,N, , ,LU,N .A., ,ESMTB 0 11/11/21,Corp,European Stability Mechanism, ,20211111, , ,5701540, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG003PGGR21, , ,N.A., ,N,S.nat,European Stability Mechanism Treasury Bill,N, ,N .A.,1,BM3243326,N, ,Y, ,Sovereign,Government,Financials,Does Not Apply,Sovereign Agency,N,20076,10010,458,e787d85d-fdd1-4698-8149-fc5e8e1e876c,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,2283861e70d20f087ca5d2320be88f99
10,BANK OF CHINA LTD (SINGAPORE BRANC MTN RegS 1.07% 17-Apr-2023,United State Of AmericaD, ,N,N,A,ABSTNR,h1AS ABSTAINERS INSURANCE,CN,, ,6,N,XS1804840194, , , , , ,N,PERP/canadaLL,10,N,N.A., ,N.A.,2, , , , , , , , , , ,N,N,N,canadaD, ,N,, , , ,B83SW66, , , , ,10, , , ,120000,NEW MONEY, , ,N,N, ,19880926,20220415, , ,N,10, , ,BANK OF CHINA LTD (SINGAPORE BRANC MTN RegS 1.07% 17-Apr-2023, , , , ,, , , ,WAS ABSTAINERS INSURANCE, ,10,20211015, ,canadaD,N, , ,N, ,N, ,BBG000003790,COZP875A005, ,Y,PUBLIC, , , ,canadaD,ABSTNR 10 PERP,PUBLIC, ,TYPE PRFD,57,N.A.,N, ,239354, , ,N .A., , ,10, ,1,19880926,Preferred Stock,Y, , ,2, ,N, , ,N .A.,500000,Y, ,N,19881015, ,93080,COZP875A005 Corp,canada, ,20220326, , , ,N,Abstainers Insurance Co,20211213,10, ,1,N,canada,2, , , ,N,Anytime, ,United State Of America,N .A., ,ABSTNR 10 PERP A,Corp, , ,21701015,N, , , ,N.A.,N .A.,N.A.,N .A., ,,20211213,N,N.A., , ,BBG001FL38X7,, ,N .A., ,N,canada,Abstainers Insurance Co, ,19881231,N.A.,1,3864402,N, ,Y,3864402,Insurance,Financial,Financials, ,Multi-line Insurance, ,20055,10008,165,2ba425a3-3fec-49b5-a95c-455c0d06499a,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,fcfe660fce092dabacb65ec3b1ab9e8c
10.5,BANK OF COMMUNIcanadaTIONS CO LTD (HON MTN RegS 1.12% 20-Jul-2025,United State Of AmericaD, ,N,N,B,AVFI,ADVANCED FINANCIAL INC,CN,, ,5,N,XS2201821340, , , , , ,N,CONV/canadaLL/PERP,4,N,N .A., ,EPXXXX,4, , , , ,,	,19920611,4,VTR canadaPITAL, ,N,N,N,United State Of AmericaD,1,N,, , ,	,B8BBXZ3, , , ,,100,  ,  ,,400000,NEW MONEY,4,	,N,N,,19951227,20220110,, ,N,4,, ,BANK OF COMMUNIcanadaTIONS CO LTD (HON MTN RegS 1.12% 20-Jul-2025, ,,19920604,19920611,,,		, ,ADVANCED FINANCIAL INC,,10.5,20211010, ,United State Of AmericaD,N,,DTC,Y, ,N, ,BBG000004VJ5,COZP876A006,,Y,PUBLIC, , , ,United State Of AmericaD,AVFI 10 1/2 PERP,PUBLIC,,TYPE PRFD,57,United State Of America,N,1,102297,,  ,N .A.,Y, ,100, ,1,19951227,Preferred Stock,Y, , ,2, ,Y, , ,N .A.,500000,Y,  ,N,19960110, ,363000,COZP876A006 Corp,United State Of America,19920611,20211227, , ,,N,Advanced Energy Recovery Inc,20211213,4,,1,N,United State Of America,4,		,AVRC,	,N,Anytime, ,United State Of America,N .A.,Optionally,AVFI 10.5 PERP B,Corp,	  ,EQ0010229700001000,21700110,N, ,, ,N .A.,N .A.,N .A.,N .A.,, ,20211213,N,N .A., , ,BBG001FFOCG3,N,AVRC United State Of America Equity,N .A., ,N,United State Of America,Advanced Energy Recovery Inc						, ,19920611,N .A.,1,00753J404,N,	,Y,00753J404,Oil&Gas,Energy,Financials, ,Oil Comp-Explor&Prodtn, ,20048,10007,135,1b8ece5f-e508-4aa6-ab7c-86d6c061322b,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,0146204036dc9a3b1a93bf05a6d3ef94
4.52,CHINA CINDA FINANCE (2017) I LTD MTN RegS 4.75% 08-Feb-2028,United State Of AmericaD, ,N,N, ,S0,ALABA11A POWER CO,CN,, ,5,N,XS1757392540,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4, , , , , , ,19630515,101.8, , ,N,N,N,United State Of AmericaD, ,N,,  ,,,B8QBJF0,, , , ,100, , , ,50000,NEW MONEY , , ,N,N, ,20211216,20220101, , ,N,100, , ,CHINA CINDA FINANCE (2017) I LTD MTN RegS 4.75% 08-Feb-2028, ,,19630510, ,16, ,904002,  ,ALABA11A POWER CO, ,4.52,20211001, ,United State Of AmericaD,N, ,DTC,Y, ,N, ,BBG0000012N7,COZP877A007,,Y,PUBLIC, , , ,United State Of AmericaD,SO 4.52 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N, ,171317,,  ,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,500062,Y, ,N,20220101, ,50000,COZP877A007 Corp,United State Of America,19630515,20211216, ,101370,APRCP,N,Alabama Power Co,20211213,102.93, ,1,N,United State Of America,4, , , ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.52 PERP,Corp,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , , ,N,N .A ., , ,BBG001FB3NX3, , ,N .A ., ,N,United State Of America,Alabama Power Co , ,19630515,N .A .,1,10392306,N,,Y,10392306,Electric,Utilities,Financials, ,Electric-Integrated, ,20110,10014,265,cdb4e6d5-32b8-4254-b86e-18c8da3406b6,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,0fbd922c8f115e657f87ff70a548c0e8
4.6,CHINA CONSTRUCTION BANK CORP RegS 4.25% 27-Feb-2029,United State Of AmericaD, ,N,N,AP,S0,ALABA11A POWER CO,CN,, ,5,N,XS1936784161,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4,,  , , , ,,19501024,102.2, , ,N,N,N,United State Of AmericaD, ,N,, ,, ,B6TSGL9,,,, ,100, , , ,100000,NEW MONEY , , ,N,N,,20211216,20220101,,,N,100,, ,CHINA CONSTRUCTION BANK CORP RegS 4.25% 27-Feb-2029, , ,19501020, ,16, ,904004,  ,ALABA11A POWER CO,,4.6,20211001, ,United State Of AmericaD,N, ,DTC,N, ,N, ,BBG0000012W7,COZP878A008,,Y,PUBLIC,, , ,United State Of AmericaD,SO 4.6 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N,,171317, ,A2JNS5,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,10392405,Y, ,,20220101, ,100000,COZP878A008 Corp,United State Of America,19501024,20211216, ,101370,ALPVN,N,Alabama Power Co,,104.2, ,1,N,United State Of America,4,,, ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.6 PERP AP,Corp,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , ,,N,N .A ., , ,BBG001FB3NX3, ,,N .A ., ,N,United State Of America,Alabama Power Co						, ,19501024,N .A .,1,20211213,N,,Y,10392405,Electric,Utilities,Financials, ,Electric-Integrated, ,20110,10014,265,2a29d95c-940b-44a7-9629-e16920b0d2c3,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,2ee56078e917a2ded44ec297fdcb723a
0,CHINA OVERSEAS FINANCE (canadaYMAN)III RegS 5.38% 29-Oct-2023,United State Of AmericaD,N.A., , , ,B,TREASURY BILL,CN,, ,2,N,XS0972980097, , , , , ,N,NORMAL,100,N,N .A., ,:)BZIFR, , ,, , , , ,20210513,0.05, ,20211112,Y,N, ,United State Of AmericaD, , ,, , , ,B86LQM6,, , , ,100, , , ,1.19769, , , ,N, , , , , , ,N .A.,100, ,N .A.,CHINA OVERSEAS FINANCE (canadaYMAN)III RegS 5.38% 29-Oct-2023, , , , , , , , ,TREASURY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A., ,BBG010VMHVX2,COZP879A009, , ,PUBLIC, , , ,United State Of AmericaD,B 11/12/21,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349054, ,,N .A., , ,100, ,2, ,Bill,N, , ,1, , ,20211112, , ,192941319,N, ,Y, ,N.A.,1.19769,COZP879A009 Corp,United State Of America, , , ,218252, ,N,United States Treasury Bill, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,B 0 11/12/21,Corp,United States of Americanada, ,20211112, , ,3352Z, ,N .A.,N.A.,N .A.,N.A., , , ,N,N .A.,Non-Grandfathered, ,BBG001FN4MX1, , , , , ,United State Of America,United States Treasury Bill, , , , ,912796851,N, ,Y,912796H51,Sovereiqn,Government,Financials, ,Sovereiqn, ,20076,10010,459,120956d5-c919-42e3-a13c-b6f1df761cf9,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,e08645f9fe2832816e081daaa0466929
